created_at,entry_id,field1
2024-04-09T02:56:12+05:30,1111,1.76
2024-04-09T02:56:17+05:30,1113,1.15
2024-04-09T02:56:22+05:30,1115,0.07
2024-04-09T02:56:28+05:30,1117,0.08
2024-04-09T02:56:33+05:30,1119,0.07
2024-04-09T02:56:38+05:30,1121,0.07
2024-04-09T02:56:43+05:30,1123,0.06
2024-04-09T02:56:49+05:30,1125,0.07
2024-04-09T02:56:54+05:30,1127,0.07
2024-04-09T02:56:59+05:30,1129,0.08
2024-04-09T02:57:05+05:30,1131,0.07
2024-04-09T02:57:10+05:30,1133,0.07
2024-04-09T02:57:15+05:30,1135,0.06
2024-04-09T02:57:21+05:30,1137,0.07
2024-04-09T02:57:26+05:30,1139,0.07
2024-04-09T02:57:31+05:30,1141,0.08
2024-04-09T02:57:37+05:30,1143,0.08
2024-04-09T02:57:42+05:30,1145,0.07
2024-04-09T02:57:47+05:30,1147,0.07
2024-04-09T02:57:52+05:30,1149,0.08
2024-04-09T02:57:58+05:30,1151,0.07
2024-04-09T02:58:03+05:30,1153,0.06
2024-04-09T02:58:08+05:30,1155,0.06
2024-04-09T02:58:14+05:30,1157,0.08
2024-04-09T02:58:19+05:30,1159,0.07
2024-04-09T02:58:24+05:30,1161,0.08
2024-04-09T02:58:30+05:30,1163,0.07
2024-04-09T02:58:35+05:30,1165,0.08
2024-04-09T02:58:40+05:30,1167,0.08
2024-04-09T02:58:46+05:30,1169,0.06
2024-04-09T02:58:51+05:30,1171,2.19
2024-04-09T02:58:56+05:30,1173,0.06
2024-04-09T02:59:01+05:30,1175,2.85
2024-04-09T02:59:07+05:30,1177,0.07
2024-04-09T02:59:12+05:30,1179,2.41
2024-04-09T02:59:17+05:30,1181,1.73
2024-04-09T02:59:23+05:30,1183,1.7
2024-04-09T02:59:28+05:30,1185,1.71
2024-04-09T02:59:33+05:30,1187,1.71
2024-04-09T02:59:39+05:30,1189,1.7
2024-04-09T02:59:44+05:30,1191,1.7
2024-04-09T02:59:49+05:30,1193,1.71
